window,balance,return_val,position
1,199.9994260113861,-0.000573988613883037,SHORT
2,299.99906073019315,-0.00036528119297120647,SHORT
3,399.99792153428035,-0.0011391959128090176,SHORT
4,499.9972882543832,-0.0006332798971816472,SHORT
