window,balance,return_val,position
1,199.99867601613926,-0.0013239838607346953,SHORT
2,299.9968624756891,-0.0018135404501719082,SHORT
3,399.9848073978121,-0.012055077877011829,SHORT
4,499.9842509237088,-0.0005564741032644239,SHORT
5,499.9870468667724,0.0027959430635617843,SHORT
