inserttime,period,max,min,mean,vol,fd,return_val
2022-12-14 17:04:27,1,1.35555,1.3543500000000002,1.354741654411765,0.0008857777393143739,0.0,0.0
2022-12-14 17:12:22,2,1.35515,1.3543349999999998,1.3547110326086962,0.0006016043129366337,1078782.1597089488,-2.260342624666894e-05
2022-12-14 17:20:00,3,1.3548499999999999,1.3543500000000002,1.3545918390804612,0.00036911487695004744,2275714.289656436,-8.79844670678207e-05
2022-12-14 17:28:22,4,1.35535,1.35438,1.3547454807692307,0.0007160016503242859,2648038.5892145336,0.0001134228660891832
2022-12-14 17:36:19,5,1.3549799999999999,1.35415,1.3545287974683526,0.000612759213057099,1646650.0682478973,-0.00015994391858392598
2022-12-14 17:45:14,6,1.35465,1.3540299999999998,1.3543406944444452,0.00045778732230621695,2225924.46393346,-0.00013886971193159662
2022-12-14 17:53:01,7,1.35445,1.354125,1.35426052631579,0.00023998336633502697,2458503.7246970483,-5.9193472502104345e-05
2022-12-14 18:02:10,8,1.3547500000000001,1.35405,1.3542889595375724,0.0005168763985487726,3418612.27357485,2.0995385474105216e-05
2022-12-14 18:09:51,9,1.3554499999999998,1.3545500000000001,1.3550434042553186,0.0006641853664416642,1353537.8004732956,0.0005570780980181023
2022-12-14 18:17:31,10,1.3552499999999998,1.3543500000000002,1.3548153305785122,0.0006642971773986162,963424.235078397,-0.00016831466511707004
2022-12-14 18:25:01,11,1.3547500000000001,1.3543500000000002,1.3545068867924517,0.00029531042174852165,1567841.7214624353,-0.00022766481829581504
2022-12-14 18:32:25,12,1.35465,1.3542049999999999,1.3544418509615388,0.000328548619259008,3688951.7378995037,-4.8014396639129396e-05
2022-12-14 18:42:37,13,1.3548499999999999,1.354345,1.3545154128440375,0.00037282706066787643,3452002.6461987197,5.431158410124275e-05
2022-12-14 18:50:24,14,1.3548499999999999,1.354535,1.35466461722488,0.0002325298793476584,3995185.4901667936,0.00011015332821436624
2022-12-14 18:58:14,15,1.35515,1.3545099999999999,1.3548634195402307,0.00047237233714478636,3476071.46075684,0.00014675389969068738
2022-12-14 19:06:35,16,1.35555,1.3547500000000001,1.3551612167300375,0.0005903356664311035,1268769.6891636373,0.0002197986789752447
2022-12-14 19:14:20,17,1.35565,1.35515,1.3554623571428563,0.0003688778204463618,1829874.1821430577,0.00022221740786343842
2022-12-14 19:22:25,18,1.35535,1.3547500000000001,1.3549886082474203,0.0004428081508197995,2129590.4292957634,-0.00034951091997468495
2022-12-14 19:30:33,19,1.3554499999999998,1.35495,1.3551394128787873,0.00036896572798923255,1889064.3415540762,0.00011129586658445636
2022-12-14 19:38:17,20,1.355275,1.3547850000000001,1.3549942015209113,0.00036162516374599953,1830624.81919809,-0.00010715602874205401
2022-12-14 19:45:48,21,1.3550499999999999,1.35445,1.3547762361623608,0.0004428775645633837,1853785.4831490344,-0.0001608607315853528
2022-12-14 19:53:55,22,1.35465,1.35405,1.3542654123711333,0.0004430446163056148,1832772.5247424687,-0.0003770539942997991
2022-12-14 20:01:50,23,1.355005,1.354085,1.3544485347985349,0.0006792432317384992,1049697.614468828,0.00013521900930850168
2022-12-14 20:09:31,24,1.3552499999999998,1.35465,1.3548939642857145,0.00044283908247849305,1065849.918571546,0.00032886409172119764
2022-12-14 20:21:03,25,1.35555,1.354565,1.3550006849315064,0.0007269369019173626,1297224.0059800942,7.876678810664788e-05
2022-12-14 20:30:23,26,1.35585,1.355265,1.3555635620915032,0.00043155482808748515,1230434.61789832,0.00041540728817067977
2022-12-14 20:40:11,27,1.3562500000000002,1.355645,1.3559502380952382,0.0004461815655197335,1701101.2077916772,0.0002852511048160541
2022-12-14 20:48:33,28,1.35705,1.356115,1.356646150159745,0.0006891996117705666,1176727.302437861,0.0005132283213316871
2022-12-14 20:56:23,29,1.3571499999999999,1.356735,1.3569162251655624,0.0003058405466035285,1585793.6607362987,0.00019907549642589264
2022-12-14 21:05:04,30,1.35696,1.355815,1.3563606164383557,0.0008441707803390721,741556.1099479883,-0.000409464281510034
2022-12-14 21:12:57,31,1.3569499999999999,1.35592,1.3563113291139255,0.0007594126642536862,608364.8874278796,-3.633792063325802e-05
2022-12-14 21:20:37,32,1.356665,1.35633,1.3565050483870973,0.00024695816679657306,1619707.5204623307,0.00014282802850165374
2022-12-14 21:27:59,33,1.3572,1.356365,1.356651563876651,0.0006154859672397346,1665350.7221241938,0.00010800954241040088
2022-12-14 21:36:58,34,1.357415,1.357005,1.3571642083333326,0.00030210051037488127,1039389.1741869369,0.0003778748134979882
2022-12-14 21:45:28,35,1.3573499999999998,1.35675,1.3570620188679245,0.000442131598746283,2309267.2021071725,-7.529631623101057e-05
2022-12-14 21:53:24,36,1.35705,1.3567399999999998,1.3568901838235299,0.00022846358806039642,3698620.0171933593,-0.0001266228381647659
2022-12-14 22:02:16,37,1.3569499999999999,1.3564500000000002,1.3566536426116838,0.00036855390668260517,3467606.7105173855,-0.00017432598058863551
2022-12-14 22:11:12,38,1.35705,1.355715,1.3563322864321605,0.000984272079456142,687817.9460033808,-0.00023687415079989328
2022-12-14 22:20:12,39,1.35605,1.35565,1.355848901869159,0.0002950181244005288,735548.0292640998,-0.0003563909580542391
2022-12-14 22:27:48,40,1.35605,1.355495,1.3556941891891892,0.0004093843614775811,2853064.5278788027,-0.00011410761166427153
2022-12-14 22:35:14,41,1.35605,1.35555,1.3557266017316012,0.00036880592249301605,2272197.7845024136,2.3908446809399262e-05
2022-12-14 22:43:57,42,1.35595,1.35565,1.3557839095744688,0.00022127420002655588,3384940.494237963,4.2270943709756126e-05
