inserttime,period,max,min,mean,vol,fd,return_val
2022-12-14 17:04:30,1,1.55256,1.54629,1.5485938859649122,0.004048834272707482,0.0,0.0
2022-12-14 17:12:20,2,1.54894705,1.5468,1.5479842357142855,0.001386997328825721,167267.80591309362,-0.00039367987704981295
2022-12-14 17:19:23,3,1.5499073499999998,1.5487071499999998,1.549127619736842,0.0007747586349301993,185864.33697892693,0.0007386276915339169
2022-12-14 17:28:20,4,1.5494270499999998,1.54875,1.5490940530303028,0.00043706190639316244,311168.73378953355,-2.1668135091996522e-05
2022-12-14 17:36:27,5,1.55207235,1.548645,1.5493072479797985,0.0022121822540164286,371578.7876462621,0.00013762556836276614
2022-12-14 17:45:14,6,1.5515907,1.54883,1.5493361272727284,0.0017818599536949264,165557.34326273948,1.8640132851373776e-05
2022-12-14 17:53:02,7,1.5513499999999998,1.5496671499999999,1.5504473465346533,0.0010853964204338685,227566.62482935592,0.0007172228429740319
2022-12-14 18:02:15,8,1.55091,1.54997,1.5504006561151067,0.0006062948930603086,625108.3496464493,-3.011416005257551e-05
2022-12-14 18:09:52,9,1.55074,1.5501473,1.5503602387254896,0.0003822982460433555,729796.704242162,-2.6068996718826487e-05
2022-12-14 18:17:31,10,1.5502799999999999,1.54898,1.5495862931677034,0.0008389335952000221,649634.2536742241,-0.0004992036937314934
2022-12-14 18:25:02,11,1.5497999999999998,1.54905,1.5493973404109593,0.00048405917606704924,545387.8638247985,-0.00012193755041402619
2022-12-14 18:32:26,12,1.54927,1.5478999999999998,1.5488599598159514,0.0008845215420010524,526838.4972804263,-0.00034683201073872354
2022-12-14 18:42:39,13,1.54969085,1.5486,1.5491071550955409,0.0007041798215260962,355022.9534527144,0.00015959821158968425
2022-12-14 18:50:17,14,1.54977,1.54934,1.5495628595238107,0.0002774976164131179,1009017.6759686351,0.0002941723087204411
2022-12-14 18:58:14,15,1.5498699999999999,1.5494270499999998,1.5496342860465122,0.00028584163630641164,2721786.825926272,4.609462743801438e-05
2022-12-14 19:06:33,16,1.5505900000000001,1.5493700000000001,1.5499162404522613,0.0007871393099565215,1309806.2654969532,0.0001819489980880633
2022-12-14 19:14:19,17,1.55042,1.54929,1.5499055266666684,0.0007290766956809992,528065.1573157033,-6.9124932775679055e-06
2022-12-14 19:22:23,18,1.5493700000000001,1.54855,1.548893309392265,0.0005294102537777661,666779.6807505377,-0.0006530832086135687
2022-12-14 19:30:32,19,1.5493700000000001,1.54819,1.5487170450581396,0.0007619209743739104,855731.7909980951,-0.00011380017787964455
2022-12-14 19:38:17,20,1.5495299999999999,1.54862,1.5490165942934797,0.0005874694973263365,554922.4282855124,0.00019341766547736363
2022-12-14 19:45:46,21,1.5490300000000001,1.54769,1.5484116392307692,0.0008654029497387487,562743.6330636699,-0.0003905413698853542
2022-12-14 19:53:48,22,1.54807,1.5474299999999999,1.5476519047337285,0.00041352968199286853,679515.9144219445,-0.0004906540856397363
2022-12-14 20:01:45,23,1.54891,1.54704,1.5478221124365485,0.0012081491697106745,638993.941604808,0.00010997802690608372
2022-12-14 20:09:32,24,1.5494599999999998,1.5483099999999999,1.5490409976076553,0.0007423948118713763,437772.45584564767,0.0007874840146766318
2022-12-14 20:21:03,25,1.54977,1.5486499999999999,1.5491712021186421,0.0007229672217431638,843745.0297251571,8.405491603376791e-05
2022-12-14 20:30:22,26,1.54982,1.54905,1.5494078572463768,0.0004969640475222509,979950.1642585024,0.00015276241090137865
2022-12-14 20:40:10,27,1.55088,1.5496671499999999,1.5502120826388872,0.0007823768202964525,786066.2331061504,0.0005190533846522102
2022-12-14 20:48:33,28,1.5516999999999999,1.5502799999999999,1.5510001207547182,0.0009155382910666722,564695.1143874665,0.0005083421324451873
2022-12-14 20:56:23,29,1.55139,1.55054,1.5509374242268044,0.0005480556383013142,589356.2212061735,-4.0423290156346855e-05
2022-12-14 21:05:05,30,1.55155,1.5506199999999999,1.5511057495192317,0.0005995722730628474,1039074.066613312,0.00010853132421593396
2022-12-14 21:12:57,31,1.5527799999999998,1.5514100000000002,1.5518883309954759,0.0008827954773787414,666065.9406026083,0.0005045313489983948
2022-12-14 21:20:38,32,1.553,1.55213,1.5524599947643976,0.0005604009139906747,544253.2165553808,0.00036836656188722296
2022-12-14 21:27:33,33,1.5532400000000002,1.55264,1.5529246147887326,0.00038636775686744,1027518.453451611,0.000299279869305435
2022-12-14 21:36:57,34,1.55305,1.55194,1.552226541176471,0.0007151018041210967,514612.04248015315,-0.0004495218928295849
2022-12-14 21:45:27,35,1.5523133,1.5509499999999998,1.5517890292349736,0.0008785343718226183,512216.7264399962,-0.00028186088170212314
2022-12-14 21:53:23,36,1.5513499999999998,1.55047,1.5509787865168536,0.0005673836467976781,512880.4850869573,-0.0005221345832812539
2022-12-14 22:02:16,37,1.5512899999999998,1.55054,1.550913014640885,0.0004835861153524909,1040145.661819422,-4.240668959527644e-05
2022-12-14 22:11:13,38,1.5516999999999999,1.5509,1.5511963139751552,0.0005157309831079995,1126556.3230245807,0.0001826661660556707
2022-12-14 22:20:13,39,1.5513499999999998,1.55038,1.5508407161538467,0.0006254671997555855,775420.3580771685,-0.00022924101746818451
2022-12-14 22:27:46,40,1.55086885,1.5499399999999999,1.550363910882351,0.0005991174030048024,726068.0424542986,-0.0003074495443207904
2022-12-14 22:35:32,41,1.55086885,1.5499073499999998,1.5503728926056337,0.0006201733818915892,538559.0703381487,5.793300024355745e-06
2022-12-14 22:43:56,42,1.5512199999999998,1.5503,1.5507640886666672,0.0005932559353955749,670874.0296624576,0.0002523238524739523
