Reading,Currency,Max,Min,Mean,Vol,FD,R
8,USD_JPY,138.985,138.944,138.9681556,0.041,147.31707317073167,0.0001222
8,USD_MXN,19.300995,19.29558,19.2972516,0.005415,794.0904893813481,-9.22e-05
8,EUR_USD,1.03635,1.035925,1.0361145,0.000425,14376.470588235296,0.0001211
8,EUR_JPY,144.03,143.955,143.9868966,0.075,101.46666666666667,0.00025
8,USD_CZK,23.48,23.46265,23.4756057,0.01735,120.46109510086454,-0.0001281
8,USD_PLN,4.5154805,4.511946,4.5135478,0.0035345,1629.650587070307,-0.0001083
8,USD_INR,81.67635,81.6555,81.6724174,0.02085,117.50599520383693,4.65e-05
9,AUD_USD,0.666565,0.666195,0.6663898,0.00037,19081.081081081084,3.87e-05
9,GBP_EUR,1.1561,1.1555,1.155751,0.0006,6166.666666666667,-0.0002419
9,USD_CAD,1.34755,1.346605,1.3469006,0.000945,4698.412698412699,9.75e-05
9,USD_JPY,139.0105,138.968,138.9845861,0.0425,93.88235294117646,0.0001182
9,USD_MXN,19.300835,19.2963,19.2974535,0.004535,346.1962513781698,1.05e-05
9,EUR_USD,1.03645,1.03565,1.0360923,0.0008,9287.5,-2.14e-05
9,EUR_JPY,144.0305,143.9485,144.0011157,0.082,88.41463414634146,9.88e-05
9,USD_CZK,23.4881,23.44475,23.4766503,0.04335,185.46712802768167,4.45e-05
9,USD_PLN,4.518421,4.5146185,4.5160382,0.0038025,1585.7988165680474,0.0005518
9,USD_INR,81.67685,81.6505,81.6712872,0.02635,149.90512333965845,-1.38e-05
10,AUD_USD,0.666525,0.6661,0.6663539,0.000425,15811.764705882355,-5.39e-05
10,GBP_EUR,1.1562,1.1553,1.1558052,0.0009,4933.333333333334,4.69e-05
10,USD_CAD,1.347655,1.34695,1.3473249,0.000705,3929.0780141843966,0.000315
10,USD_JPY,138.97,138.9185,138.9402347,0.0515,96.89320388349516,-0.0003191
10,USD_MXN,19.30454,19.29909,19.3013785,0.00545,598.1651376146789,0.0002034
10,EUR_USD,1.03605,1.03553,1.0358038,0.00052,6903.846153846154,-0.0002785
10,EUR_JPY,143.945,143.875,143.9143591,0.07,87.85714285714285,-0.0006025
10,USD_CZK,23.5074,23.46675,23.484499,0.04065,106.02706027060272,0.0003343
10,USD_PLN,4.519023,4.5163845,4.5173072,0.0026385,2186.848588213,0.000281
10,USD_INR,81.68705,81.66025,81.6776717,0.0268,247.76119402985074,7.82e-05
11,AUD_USD,0.6663,0.665955,0.6661216,0.000345,18347.826086956524,-0.0003486
11,GBP_EUR,1.155625,1.1553,1.1554727,0.000325,10707.692307692307,-0.0002877
11,USD_CAD,1.34795,1.34755,1.3477349,0.0004,8325.0,0.0003043
11,USD_JPY,138.9475,138.895,138.9286042,0.0525,54.476190476190474,-8.37e-05
11,USD_MXN,19.3052,19.3001,19.3031675,0.0051,533.3333333333334,9.27e-05
11,EUR_USD,1.03565,1.035325,1.0354362,0.000325,17630.76923076923,-0.0003549
11,EUR_JPY,143.8825,143.8195,143.8510272,0.063,106.19047619047619,-0.0004401
11,USD_CZK,23.51205,23.4858,23.4941089,0.02625,108.95238095238095,0.0004092
11,USD_PLN,4.5201265,4.5179355,4.5188733,0.002191,3468.7357371063445,0.0003467
11,USD_INR,81.68605,81.65545,81.6721682,0.0306,118.30065359477123,-6.74e-05
12,AUD_USD,0.6663,0.6657,0.6660196,0.0006,11050.0,-0.0001531
12,GBP_EUR,1.155505,1.1551,1.1553505,0.000405,13160.493827160495,-0.0001058
12,USD_CAD,1.34805,1.347645,1.3478106,0.000405,15407.407407407409,5.62e-05
12,USD_JPY,138.912,138.867,138.8917861,0.045,68.0,-0.000265
12,USD_MXN,19.30111,19.29913,19.3003043,0.00198,1333.3333333333333,-0.0001483
12,EUR_USD,1.03565,1.03535,1.0354798,0.0003,19000.0,4.21e-05
12,EUR_JPY,143.8425,143.785,143.8172946,0.0575,100.8695652173913,-0.0002345
12,USD_CZK,23.4942,23.4842,23.4922688,0.01,152.0,-7.83e-05
12,USD_PLN,4.5194405,4.5179985,4.5186686,0.001442,4431.3453536754505,-4.53e-05
12,USD_INR,81.68055,81.6555,81.6699343,0.02505,138.12375249501,-2.74e-05
13,AUD_USD,0.6659,0.66544,0.6656899,0.00046,7956.521739130435,-0.000495
13,GBP_EUR,1.1556,1.1553,1.1554465,0.0003,22233.333333333336,8.31e-05
13,USD_CAD,1.34865,1.34785,1.3480587,0.0008,7487.5,0.0001841
13,USD_JPY,138.9105,138.8545,138.8787236,0.056,58.74999999999999,-9.4e-05
13,USD_MXN,19.3024,19.2998,19.3007064,0.0026,3073.076923076923,2.08e-05
13,EUR_USD,1.03565,1.03512,1.0352757,0.00053,20811.32075471698,-0.0001971
13,EUR_JPY,143.808035,143.745,143.7766798,0.063035,152.13770127706832,-0.0002824
13,USD_CZK,23.5086,23.4877,23.495875,0.0209,303.82775119617224,0.0001535
13,USD_PLN,4.5202795,4.51875,4.51966,0.0015295,7819.548872180451,0.0002194
13,USD_INR,81.68255,81.66395,81.676045,0.0186,325.80645161290323,7.48e-05
14,AUD_USD,0.6657,0.6653,0.665511,0.0004,12275.0,-0.0002687
14,GBP_EUR,1.1559,1.155345,1.1556296,0.000555,13927.927927927925,0.0001585
14,USD_CAD,1.34875,1.34815,1.348368,0.0006,5833.333333333334,0.0002294
14,USD_JPY,138.925,138.899,138.9152903,0.026,98.84615384615384,0.0002633
