Reading,Currency,Max,Min,Mean,Vol,FD,R
7,EUR_USD,1.034505,1.03392,1.0341747,0.000585,3829.0598290598286,0.0004296
7,EUR_JPY,144.013,143.926,143.9521994,0.087,39.19540229885058,0.000354
7,USD_CZK,23.53815,23.516,23.5256561,0.02215,112.41534988713319,-0.0004133
7,USD_PLN,4.5289875,4.525786,4.5273398,0.0032015,1236.9201936592224,-0.0004604
7,USD_INR,81.6455,81.6445,81.6445614,0.001,10.0,0.0004662
8,AUD_USD,0.6655,0.6648,0.6652606,0.0007,3728.571428571429,0.0011285
8,GBP_EUR,1.157005,1.156865,1.1569493,0.00014,23785.71428571429,0.0001126
8,USD_CAD,1.348075,1.34785,1.3479669,0.000225,6755.555555555556,-0.0003368
8,USD_JPY,139.201,139.115,139.1726361,0.086,53.6046511627907,-0.0001643
8,USD_MXN,19.317995,19.31007,19.3116506,0.007925,352.05047318611986,-0.000195
8,EUR_USD,1.03472,1.03447,1.0345887,0.00025,6360.0,0.0004003
8,EUR_JPY,144.0105,143.9415,143.9846764,0.069,27.391304347826086,0.0002256
8,USD_CZK,23.5209,23.513,23.5166483,0.0079,141.77215189873417,-0.0003829
8,USD_PLN,4.5267335,4.5247845,4.5254287,0.001949,1226.2698819907646,-0.0004221
8,USD_INR,81.6445,81.6445,81.6445,0.0,N/A,-8e-07
9,AUD_USD,0.665675,0.665055,0.6653675,0.00062,3290.3225806451615,0.0001607
9,GBP_EUR,1.1571,1.1568,1.1569845,0.0003,25766.666666666668,3.04e-05
9,USD_CAD,1.34809,1.34743,1.3477545,0.00066,11106.060606060606,-0.0001576
9,USD_JPY,139.148,139.0645,139.12095,0.0835,21.676646706586826,-0.0003714
9,USD_MXN,19.316495,19.306095,19.3092709,0.0104,188.46153846153845,-0.0001232
9,EUR_USD,1.035155,1.034645,1.0348768,0.00051,12156.862745098038,0.0002785
9,EUR_JPY,144.006,143.9445,143.9729947,0.0615,40.325203252032516,-8.11e-05
9,USD_CZK,23.5217,23.502,23.5095672,0.0197,289.84771573604064,-0.0003011
9,USD_PLN,4.5256565,4.52295,4.5241607,0.0027065,2168.8527618695734,-0.0002802
9,USD_INR,81.6445,81.6445,81.6445,0.0,N/A,0.0
10,AUD_USD,0.6656,0.665105,0.6653434,0.000495,4646.464646464647,-3.62e-05
10,GBP_EUR,1.1571,1.1569,1.1569877,0.0002,11400.0,2.8e-06
10,USD_CAD,1.34815,1.34755,1.3478409,0.0006,3550.0,6.41e-05
10,USD_JPY,139.1275,139.0665,139.0958222,0.061,32.295081967213115,-0.0001806
10,USD_MXN,19.31087,19.306395,19.3086541,0.004475,187.7094972067039,-3.19e-05
10,EUR_USD,1.03505,1.03465,1.0348236,0.0004,4250.0,-5.14e-05
10,EUR_JPY,143.96,143.92,143.9402083,0.04,78.75,-0.0002277
10,USD_CZK,23.5191,23.5047,23.5105614,0.0144,151.38888888888889,4.23e-05
10,USD_PLN,4.5254155,4.5233,4.5243063,0.0021155,1143.9376034034506,3.22e-05
10,USD_INR,81.6445,81.6415,81.6439956,0.003,0.0,-6.2e-06
11,AUD_USD,0.665775,0.6653,0.6654647,0.000475,5178.9473684210525,0.0001823
11,GBP_EUR,1.157125,1.1569,1.1570394,0.000225,14311.111111111111,4.47e-05
11,USD_CAD,1.34795,1.3473,1.3477199,0.00065,3846.153846153846,-8.98e-05
11,USD_JPY,139.101,139.042,139.0763056,0.059,42.37288135593221,-0.0001403
11,USD_MXN,19.3105,19.306505,19.3094046,0.003995,668.3354192740926,3.89e-05
11,EUR_USD,1.03525,1.03464,1.034842,0.00061,4606.55737704918,1.78e-05
11,EUR_JPY,143.944,143.8995,143.9222444,0.0445,106.06741573033707,-0.0001248
11,USD_CZK,23.5148,23.49605,23.5100219,0.01875,94.93333333333334,-2.29e-05
11,USD_PLN,4.525113,4.5231,4.5243388,0.002013,1778.4401390958767,7.2e-06
11,USD_INR,81.64815,81.6435,81.6473147,0.00465,193.5483870967742,4.07e-05
12,AUD_USD,0.6659,0.665575,0.665676,0.000325,7138.461538461538,0.0003175
12,GBP_EUR,1.1572,1.156935,1.1570277,0.000265,15886.792452830188,-1.01e-05
12,USD_CAD,1.34765,1.34725,1.3474202,0.0004,4550.0,-0.0002224
12,USD_JPY,139.087,139.042,139.0673861,0.045,40.666666666666664,-6.41e-05
12,USD_MXN,19.30796,19.30634,19.3073806,0.00162,629.6296296296297,-0.0001048
12,EUR_USD,1.03535,1.03495,1.0350986,0.0004,5525.0,0.000248
12,EUR_JPY,143.98,143.921,143.9472028,0.059,46.10169491525424,0.0001734
12,USD_CZK,23.5078,23.4862,23.5033308,0.0216,156.48148148148147,-0.0002846
12,USD_PLN,4.524191,4.5223935,4.5231827,0.0017975,1941.585535465925,-0.0002555
12,USD_INR,81.6475,81.646,81.6462681,0.0015,93.33333333333334,-1.28e-05
13,AUD_USD,0.665965,0.665725,0.6657941,0.00024,9416.666666666666,0.0001774
13,GBP_EUR,1.15714,1.1569,1.1570435,0.00024,14083.333333333334,1.37e-05
13,USD_CAD,1.34745,1.347155,1.3473079,0.000295,9355.93220338983,-8.33e-05
13,USD_JPY,139.1115,139.0505,139.06775,0.061,57.049180327868854,2.6e-06
13,USD_MXN,19.3078,19.301235,19.3068868,0.006565,1294.7448591012949,-2.56e-05
13,EUR_USD,1.03535,1.03495,1.0350858,0.0004,7575.0,-1.24e-05
13,EUR_JPY,143.9805,143.92,143.9462583,0.0605,49.586776859504134,-6.6e-06
13,USD_CZK,23.51285,23.49245,23.5052728,0.0204,72.05882352941177,8.26e-05
13,USD_PLN,4.5240765,4.522418,4.5231806,0.0016585,1911.3656918902623,-5e-07
13,USD_INR,81.646,81.646,81.646,0.0,N/A,-3.3e-06
14,AUD_USD,0.666025,0.6656,0.6659019,0.000425,15647.058823529413,0.0001619
14,GBP_EUR,1.15721,1.157,1.157153,0.00021,26428.571428571428,9.46e-05
14,USD_CAD,1.34745,1.34695,1.3472112,0.0005,8380.0,-7.18e-05
14,USD_JPY,139.095,138.9835,139.0414917,0.1115,23.408071748878925,-0.0001888
14,USD_MXN,19.307975,19.301415,19.3063802,0.00656,333.8414634146341,-2.62e-05
14,EUR_USD,1.03533,1.03505,1.0351954,0.00028,6892.857142857143,0.0001059
14,EUR_JPY,143.9775,143.888,143.9349639,0.0895,31.061452513966483,-7.85e-05
14,USD_CZK,23.506,23.49275,23.5021867,0.01325,132.83018867924528,-0.0001313
14,USD_PLN,4.5240765,4.52215,4.5228252,0.0019265,1806.3846353490785,-7.86e-05
14,USD_INR,81.646,81.646,81.646,0.0,N/A,0.0
15,AUD_USD,0.666335,0.665925,0.6660539,0.00041,4780.487804878048,0.0002283
15,GBP_EUR,1.157415,1.1571,1.1572363,0.000315,15142.857142857143,7.2e-05
15,USD_CAD,1.34715,1.34666,1.3469321,0.00049,6428.571428571428,-0.0002072
15,USD_JPY,139.0015,138.8585,138.9559028,0.143,13.076923076923078,-0.0006156
15,USD_MXN,19.3079,19.3039,19.3068771,0.004,225.0,2.57e-05
15,EUR_USD,1.03565,1.03521,1.03536,0.00044,12409.090909090908,0.000159
15,EUR_JPY,143.902,143.8025,143.869271,0.0995,28.04020100502512,-0.0004564
15,USD_CZK,23.5019,23.493,23.4989522,0.0089,230.3370786516854,-0.0001376
15,USD_PLN,4.523607,4.520881,4.5220461,0.002726,1808.5106382978722,-0.0001723
15,USD_INR,81.646,81.6415,81.6452444,0.0045,0.0,-9.3e-06
16,AUD_USD,0.666565,0.666265,0.6664296,0.0003,8733.333333333334,0.0005641
16,GBP_EUR,1.157515,1.1572,1.1573682,0.000315,13111.111111111111,0.000114
16,USD_CAD,1.34685,1.346415,1.3466224,0.000435,7356.32183908046,-0.0002299
16,USD_JPY,138.9105,138.8145,138.8614944,0.096,21.770833333333336,-0.0006794
16,USD_MXN,19.3044,19.3012,19.3024929,0.0032,940.625,-0.0002271
16,EUR_USD,1.03599,1.03555,1.035678,0.00044,6386.363636363636,0.0003071
16,EUR_JPY,143.8565,143.775,143.8163639,0.0815,28.098159509202453,-0.0003677
16,USD_CZK,23.50225,23.485,23.4930378,0.01725,233.04347826086956,-0.0002517
16,USD_PLN,4.521577,4.5194315,4.5206552,0.0021455,1552.0857608948963,-0.0003076
16,USD_INR,81.64215,81.60245,81.6126464,0.0397,54.911838790931995,-0.0003993
17,AUD_USD,0.666575,0.6663,0.6664431,0.000275,12363.636363636364,2.03e-05
17,GBP_EUR,1.1575,1.1571,1.1572367,0.0004,6825.0,-0.0001136
17,USD_CAD,1.34675,1.3464,1.3465577,0.00035,8285.714285714286,-4.8e-05
17,USD_JPY,138.8905,138.8045,138.8537639,0.086,25.116279069767444,-5.57e-05
17,USD_MXN,19.3036,19.3013,19.3024977,0.0023,1421.7391304347827,2e-07
