Reading,Currency,Max,Min,Mean,Vol,FD,R
13,USD_PLN,4.5202795,4.51875,4.51966,0.0015295,7819.548872,0.0002194
14,USD_PLN,4.5213805,4.518989,4.519936,0.0023915,4842.149279,6.11E-05
15,USD_PLN,4.5205725,4.518715,4.5195317,0.0018575,4269.179004,-8.94E-05
16,USD_PLN,4.51993,4.51816,4.5191011,0.00177,6983.050847,-9.53E-05
17,USD_PLN,4.520838,4.518504,4.51974,0.002334,3676.092545,0.0001414
18,USD_PLN,4.521964,4.518039,4.5209343,0.003925,2501.910828,0.0002642
19,USD_PLN,4.5222865,4.5200405,4.5213819,0.002246,1985.752449,9.90E-05
20,USD_PLN,4.522889,4.521329,4.522039,0.00156,5192.307692,0.0001453
21,USD_PLN,4.523294,4.521039,4.5222666,0.002255,5920.177384,5.03E-05
22,USD_PLN,4.526942,4.522332,4.5246147,0.00461,2190.889371,0.0005192
23,USD_PLN,4.527159,4.5244575,4.5259372,0.0027015,1950.768092,0.0002923
24,USD_PLN,4.5273925,4.5252685,4.5261752,0.002124,3549.905838,5.26E-05
25,USD_PLN,4.527258,4.5248755,4.5259725,0.0023825,4100.734523,-4.48E-05
26,USD_PLN,4.528825,4.5252215,4.5270177,0.0036035,2159.012072,0.0002309
27,USD_PLN,4.5297045,4.5266465,4.5282603,0.003058,1752.779595,0.0002745
28,USD_PLN,4.5284225,4.52674,4.5274505,0.0016825,2371.471025,-0.0001788
29,USD_PLN,4.529626,4.527,4.5279092,0.002626,4089.870526,0.0001013
30,USD_PLN,4.528678,4.5262535,4.527637,0.0024245,2338.626521,-6.01E-05
31,USD_PLN,4.5284935,4.526009,4.527351,0.0024845,2519.621654,-6.32E-05
32,USD_PLN,4.5273235,4.5253155,4.5261056,0.002008,2734.063745,-0.0002751
33,USD_PLN,4.52682,4.524665,4.5252992,0.002155,2904.87239,-0.0001782
34,USD_PLN,4.528961,4.52521,4.5264107,0.003751,2266.062383,0.0002456
35,USD_PLN,4.5292,4.5267285,4.5277845,0.0024715,1966.417156,0.0003035
36,USD_PLN,4.5302355,4.5274325,4.5287839,0.002803,1794.505887,0.0002207
37,USD_PLN,4.530034,4.52806,4.5292156,0.001974,3186.423506,9.53E-05
38,USD_PLN,4.530677,4.52875,4.529904,0.001927,6341.463415,0.000152
39,USD_PLN,4.5305065,4.528612,4.5297595,0.0018945,7637.899182,-3.19E-05
40,USD_PLN,4.530155,4.5282195,4.5295229,0.0019355,5698.785843,-5.22E-05
41,USD_PLN,4.52995,4.527695,4.528842,0.002255,3219.512195,-0.0001503
42,USD_PLN,4.529893,4.527615,4.5286646,0.002278,3977.172959,-3.92E-05
43,USD_PLN,4.5298,4.5281575,4.5292373,0.0016425,4347.031963,0.0001265
44,USD_PLN,4.530015,4.528357,4.5292278,0.001658,7997.587455,-2.10E-06
45,USD_PLN,4.5299765,4.5279645,4.5289153,0.002012,4870.775348,-6.90E-05
46,USD_PLN,4.5310975,4.52855,4.5295911,0.0025475,3733.071639,0.0001492
47,USD_PLN,4.530351,4.528065,4.5297143,0.002286,2655.293088,2.72E-05
48,USD_PLN,4.5310885,4.5287665,4.5302083,0.002322,2816.537468,0.0001091
49,USD_PLN,4.531264,4.529395,4.5302451,0.001869,3424.291065,8.10E-06
50,USD_PLN,4.5307285,4.528644,4.5295281,0.0020845,4543.055889,-0.0001583
51,USD_PLN,4.531387,4.52903,4.5301999,0.002357,3826.8986,0.0001483
52,USD_PLN,4.5317435,4.529155,4.530311,0.0025885,2970.832528,2.45E-05
53,USD_PLN,4.531568,4.5272965,4.5302391,0.0042715,1554.489055,-1.59E-05
54,USD_PLN,4.5315085,4.5291725,4.5308215,0.002336,1660.958904,0.0001286
55,USD_PLN,4.5320305,4.5297655,4.5310706,0.002265,2525.386313,5.50E-05
56,USD_PLN,4.533363,4.530683,4.5317057,0.00268,1485.074627,0.0001402
57,USD_PLN,4.535236,4.531152,4.5337517,0.004084,1829.089128,0.0004515
58,USD_PLN,4.534745,4.529085,4.5316432,0.00566,1459.363958,-0.0004651
59,USD_PLN,4.5321415,4.5295315,4.5309329,0.00261,1145.59387,-0.0001567
60,USD_PLN,4.531082,4.5282745,4.5294553,0.0028075,2856.634016,-0.0003261
61,USD_PLN,4.530221,4.527467,4.5291812,0.002754,2534.49528,-6.05E-05
62,USD_PLN,4.530389,4.5283875,4.5293557,0.0020015,2658.006495,3.85E-05
63,USD_PLN,4.5320115,4.5281535,4.5301078,0.003858,3882.84085,0.0001661
64,USD_PLN,4.531818,4.5297045,4.5306578,0.0021135,1726.993139,0.0001214
65,USD_PLN,4.531354,4.529369,4.5303681,0.001985,3612.09068,-6.39E-05
66,USD_PLN,4.531517,4.529105,4.5300712,0.002412,3213.101161,-6.55E-05
67,USD_PLN,4.53145,4.5292455,4.5300591,0.0022045,3696.983443,-2.70E-06
68,USD_PLN,4.5326655,4.5303835,4.5312961,0.002282,2607.361963,0.0002731
69,USD_PLN,4.532025,4.530277,4.5312826,0.001748,2917.620137,-3.00E-06
70,USD_PLN,4.531983,4.530253,4.5311591,0.00173,4554.913295,-2.73E-05
71,USD_PLN,4.533482,4.5300535,4.5314419,0.0034285,2875.893248,6.24E-05
72,USD_PLN,4.5332135,4.5260805,4.5312301,0.007133,1491.658489,-4.67E-05
73,USD_PLN,4.53142,4.5290935,4.5304166,0.0023265,803.7825059,-0.0001795
74,USD_PLN,4.531741,4.529756,4.5307514,0.001985,2680.100756,7.39E-05
75,USD_PLN,4.5313955,4.528911,4.5298966,0.0024845,3393.036828,-0.0001887
76,USD_PLN,4.530901,4.528681,4.5298281,0.00222,2972.972973,-1.51E-05
77,USD_PLN,4.5307915,4.528981,4.5299648,0.0018105,3159.348246,3.02E-05
78,USD_PLN,4.5306715,4.528942,4.5297373,0.0017295,3544.376988,-5.02E-05
79,USD_PLN,4.5308135,4.5282675,4.5294974,0.002546,3205.027494,-5.30E-05
80,USD_PLN,4.530655,4.528171,4.5292963,0.002484,2367.149758,-4.44E-05
81,USD_PLN,4.5303485,4.528681,4.5294611,0.0016675,2536.731634,3.64E-05
82,USD_PLN,4.53062,4.528691,4.5295541,0.001929,5370.658372,2.05E-05
83,USD_PLN,4.531208,4.528524,4.5298839,0.002684,3006.706408,7.28E-05
84,USD_PLN,4.5316715,4.52976,4.5305297,0.0019115,2453.570494,0.0001426
85,USD_PLN,4.5314215,4.529312,4.5304279,0.0021095,3389.428775,-2.25E-05
86,USD_PLN,4.5311095,4.529557,4.530278,0.0015525,3407.407407,-3.31E-05
87,USD_PLN,4.531469,4.5292155,4.5303531,0.0022535,4757.044597,1.66E-05
88,USD_PLN,4.530914,4.528894,4.5299879,0.00202,3549.50495,-8.06E-05
89,USD_PLN,4.5315145,4.5291285,4.5301929,0.002386,3554.065381,4.53E-05
90,USD_PLN,4.5314175,4.5296535,4.5303444,0.001764,3735.827664,3.34E-05
91,USD_PLN,4.531155,4.529032,4.529888,0.002123,3575.129534,-0.0001007
92,USD_PLN,4.52995,4.527132,4.5283517,0.002818,2466.288148,-0.0003391
93,USD_PLN,4.529075,4.5268565,4.5281084,0.0022185,2763.12824,-5.37E-05
94,USD_PLN,4.529688,4.5273495,4.5284099,0.0023385,3228.56532,6.66E-05
95,USD_PLN,4.528971,4.526499,4.5276342,0.002472,2779.126214,-0.0001713
96,USD_PLN,4.5281125,4.5260955,4.5268811,0.002017,3564.70005,-0.0001663
97,USD_PLN,4.527912,4.5260565,4.5268389,0.0018555,4279.170035,-9.30E-06
98,USD_PLN,4.5285115,4.5265615,4.5274793,0.00195,3584.615385,0.0001415
99,USD_PLN,4.5281305,4.5263055,4.5272745,0.001825,3320.547945,-4.52E-05
100,USD_PLN,4.529112,4.5271535,4.5279095,0.0019585,3921.368394,0.0001403
