inserttime,period,max,min,mean,vol,fd,return_val
2022-12-02 02:34:45,1,1.343955,1.343095,1.3436242598187307,0.0008600000000000829,0.0,0.0
2022-12-02 02:42:23,2,1.3434499999999998,1.342305,1.3428941317365262,0.0011449999999997296,474235.80786037404,-0.000543401979287736
2022-12-02 02:50:07,3,1.342805,1.342095,1.342328696319017,0.0007099999999999884,354929.5774647945,-0.0004210573299459644
2022-12-02 02:57:32,4,1.342955,1.342215,1.3425399531249995,0.0007399999999999629,656756.7567567896,0.00015738083120904486
2022-12-02 03:05:07,5,1.344845,1.34245,1.3438377325581405,0.002395000000000147,163674.32150312146,0.0009666598227637178
2022-12-02 03:12:50,6,1.3451499999999998,1.3443049999999999,1.3446791374269011,0.0008449999999999847,208284.02366864283,0.000626120883775829
2022-12-02 03:20:32,7,1.34545,1.34455,1.3449492352941192,0.0009000000000001229,509999.9999999303,0.00020086417621897754
2022-12-02 03:28:19,8,1.3451499999999998,1.34421,1.3446930030030035,0.0009399999999999409,440425.5319149213,-0.0001905144702801188
2022-12-02 03:36:17,9,1.344975,1.34415,1.3444826548672582,0.0008250000000000757,427878.7878787486,-0.0001564283708442234
2022-12-02 03:44:05,10,1.34435,1.3426749999999998,1.343545307017545,0.001675000000000093,302089.55223878915,-0.0006971810653859024
2022-12-02 03:52:28,11,1.3432650000000002,1.3427449999999999,1.3429789884393053,0.000520000000000298,378846.15384593676,-0.00042151059237203494
2022-12-02 04:00:18,12,1.34395,1.342875,1.3434792857142857,0.0010749999999999371,679069.7674419002,0.0003725279987900311
2022-12-02 04:08:23,13,1.3442500000000002,1.343475,1.3438445894428157,0.0007750000000001922,442580.6451611806,0.000271908716728619
2022-12-02 04:16:56,14,1.3444500000000001,1.343785,1.3441088772455085,0.0006650000000001377,718796.9924810542,0.0001966654513245536
2022-12-02 04:24:41,15,1.344575,1.344025,1.344286439873417,0.0005500000000000504,847272.7272726495,0.00013210434877287375
2022-12-02 04:32:52,16,1.34485,1.344315,1.344499455882354,0.0005350000000001742,1411214.9532705685,0.00015846028243589365
2022-12-02 04:40:51,17,1.34505,1.343645,1.3441923088235297,0.0014050000000001006,591459.0747330537,-0.00022844714252614936
2022-12-02 04:48:59,18,1.3442500000000002,1.343535,1.3439281528662423,0.0007150000000002432,334265.7342656206,-0.00019651649213686133
2022-12-02 04:57:20,19,1.34434,1.34365,1.3439791716867475,0.0006900000000000794,771014.4927535345,3.796246130893826e-05
2022-12-02 05:07:34,20,1.34485,1.3434249999999999,1.3441984660766972,0.0014250000000002316,416140.35087712534,0.00016316799736895994
2022-12-02 05:15:27,21,1.34475,1.34385,1.3443211077844315,0.0008999999999999009,303333.3333333667,9.123779771315503e-05
2022-12-02 05:23:10,22,1.3444500000000001,1.34375,1.3440160061919517,0.000700000000000145,552857.1428570284,-0.00022695588926859752
2022-12-02 05:31:07,23,1.3442500000000002,1.343475,1.3438370909090918,0.0007750000000001922,581935.4838708234,-0.00013311990484911443
2022-12-02 05:38:57,24,1.344055,1.34349,1.34370802364865,0.0005649999999999267,667256.6371682282,-9.604382950495422e-05
2022-12-02 05:46:34,25,1.3442500000000002,1.34355,1.3438373619631907,0.000700000000000145,908571.4285712404,9.625477578786063e-05
2022-12-02 05:54:14,26,1.3442500000000002,1.343455,1.3438926158940399,0.0007950000000001012,592452.8301886038,4.111653122103502e-05
2022-12-02 06:02:26,27,1.34415,1.34354,1.3437211250000003,0.0006099999999999994,732786.8852459023,-0.0001276075871028391
2022-12-02 06:10:08,28,1.3446500000000001,1.343695,1.3441663050314465,0.0009550000000000392,678534.0314135847,0.0003313038867690823
2022-12-02 06:17:51,29,1.3444850000000002,1.343665,1.3440307877813507,0.0008200000000000429,443902.439024367,-0.00010081881206856465
2022-12-02 06:25:31,30,1.3444500000000001,1.343815,1.3440894966442942,0.0006350000000001632,554330.7086612749,4.368118906002265e-05
2022-12-02 06:33:21,31,1.3444500000000001,1.343885,1.3442468403908798,0.0005650000000001487,996460.1769908882,0.00011706344479175948
2022-12-02 06:40:54,32,1.34485,1.343975,1.3443758945686906,0.0008750000000001812,589714.2857141636,9.600482138622813e-05
2022-12-02 06:48:32,33,1.344885,1.344335,1.344551812297737,0.0005500000000000504,612727.2727272165,0.00013085456958657202
2022-12-02 06:56:23,34,1.34485,1.344295,1.344556346801348,0.0005550000000000832,1106306.3063061405,3.3725019516303487e-06
2022-12-02 07:04:26,35,1.3444500000000001,1.34385,1.3441602607361964,0.000600000000000156,1198333.3333330217,-0.0002945849507116513
2022-12-02 07:12:29,36,1.34415,1.343105,1.3435487699680524,0.0010449999999999626,798086.1244019424,-0.0004549240042322984
2022-12-02 07:20:42,37,1.34365,1.343025,1.3432414918032778,0.0006250000000000977,732799.9999998854,-0.0002287063719926679
2022-12-02 07:28:48,38,1.34335,1.3426550000000002,1.3430645297805628,0.0006949999999998902,808633.0935253077,-0.00013174252269220103
2022-12-02 07:36:56,39,1.342865,1.342365,1.3426112235649548,0.0004999999999999449,962000.0000001059,-0.0003375163333976825
2022-12-02 07:45:05,40,1.3430499999999999,1.342255,1.3425940735294106,0.0007949999999998791,856603.7735850359,-1.277364231963372e-05
2022-12-02 07:53:26,41,1.343025,1.34245,1.3427050152439026,0.0005749999999999922,711304.3478260966,8.26323582677176e-05
2022-12-02 08:01:32,42,1.343515,1.342415,1.3429793949044577,0.001100000000000101,619090.9090908522,0.00020434842905927536
2022-12-02 08:09:43,43,1.34335,1.342645,1.3430391766467062,0.0007049999999999557,468085.1063830082,4.4514266172173394e-05
2022-12-02 08:17:52,44,1.344435,1.3431199999999999,1.3437544092219043,0.0013150000000001771,494296.5779467015,0.0005325478121820687
2022-12-02 08:26:00,45,1.344595,1.343455,1.3439871449275373,0.0011399999999999189,279824.56140352867,0.0001731980963454893
2022-12-02 08:34:25,46,1.352125,1.342695,1.3471457080924851,0.00943000000000005,56203.60551431572,0.002350143881114338
2022-12-02 08:42:44,47,1.351505,1.348475,1.3498171250000015,0.003029999999999866,50165.01650165238,0.0019830200188953708
2022-12-02 08:50:46,48,1.350935,1.348855,1.3499075694444442,0.002080000000000082,174999.99999999313,6.700496146300381e-05
2022-12-02 08:59:21,49,1.349825,1.34775,1.34878351388889,0.002075000000000049,196144.57831324838,-0.0008326907567581742
2022-12-02 09:08:17,50,1.3489900000000001,1.3474750000000002,1.3480160027855166,0.001514999999999933,316831.6831683308,-0.0005690395052060147
2022-12-02 09:16:50,51,1.3479450000000002,1.3462100000000001,1.3470315642458073,0.001735000000000042,318731.9884726147,-0.0007302869829995213
2022-12-02 09:27:14,52,1.34785,1.34546,1.3464638515406164,0.002389999999999892,243096.2343096344,-0.00042145464164286767
2022-12-02 09:38:50,53,1.34695,1.34473,1.345632966573818,0.0022200000000001108,227027.0270270157,-0.0006170867237525176
2022-12-02 09:50:19,54,1.3471449999999998,1.34491,1.3459916111111105,0.002234999999999765,216554.80984342322,0.0002665247851393458
2022-12-02 10:00:45,55,1.3482500000000002,1.345685,1.3468298885793857,0.0025650000000001505,217543.85964911003,0.0006227954627318551
2022-12-02 10:11:45,56,1.348185,1.3456350000000001,1.3470531754874655,0.00254999999999983,123137.25490196899,0.00016578701584603396
2022-12-02 10:23:29,57,1.34835,1.3457050000000002,1.3466844986072408,0.0026449999999997864,127410.20793951879,-0.0002736914079811794
2022-12-02 10:36:13,58,1.3486,1.34686,1.3478353055555554,0.0017400000000000748,174137.93103447527,0.000854548299549581
2022-12-02 10:48:23,59,1.34775,1.346195,1.3469818450704218,0.001554999999999973,284887.4598070789,-0.0006332082871072963
2022-12-02 11:01:17,60,1.34855,1.34706,1.347699101123596,0.0014899999999999913,285234.89932886075,0.0005324912550225031
2022-12-02 11:13:33,61,1.34875,1.346965,1.3477607365439097,0.0017849999999999255,256582.63305323198,4.57338142189171e-05
2022-12-02 11:26:47,62,1.34855,1.346905,1.3475735352112679,0.0016449999999998965,253495.4407294992,-0.00013889804589639024
2022-12-02 11:39:07,63,1.34785,1.345465,1.3466073033707837,0.0023850000000000815,206708.5953878336,-0.0007170160404884205
2022-12-02 11:50:58,64,1.34645,1.344335,1.3449955898876398,0.002114999999999867,211820.33096928045,-0.0011968697029264132
2022-12-02 12:03:23,65,1.3465500000000001,1.344505,1.3450811079545473,0.0020450000000000745,230806.84596576175,6.358241435916554e-05
2022-12-02 12:16:11,66,1.34565,1.344755,1.3450980285714311,0.0008950000000000902,258100.55865919188,1.2579625707169575e-05
2022-12-02 12:26:56,67,1.346135,1.3447149999999999,1.3454538583815039,0.0014200000000001989,394366.19718304335,0.00026453819908625685
2022-12-02 12:37:00,68,1.346385,1.345485,1.3460233045977,0.0008999999999999009,378888.8888889306,0.00042323726870949137
2022-12-02 12:45:27,69,1.347205,1.346345,1.3468109259259233,0.0008600000000000829,503488.3720929747,0.000585146873410794
2022-12-02 12:55:14,70,1.3472499999999998,1.34652,1.346847388059701,0.0007299999999998974,665753.4246576278,2.707294177358081e-05
2022-12-02 13:05:19,71,1.34755,1.346875,1.3471365706051868,0.0006749999999999812,877037.0370370615,0.00021471070000174636
2022-12-02 13:15:16,72,1.34828,1.347415,1.3478318749999998,0.0008649999999998936,786127.1676301545,0.0005161350452394483
2022-12-02 13:26:02,73,1.3484500000000001,1.347415,1.3478263768115926,0.0010350000000001192,407729.46859898686,-4.079283558438573e-06
2022-12-02 13:35:34,74,1.34785,1.34695,1.3473114852941164,0.0008999999999999009,437777.777777826,-0.000382016205005732
2022-12-02 13:44:18,75,1.34755,1.3467500000000001,1.3471597093023246,0.0007999999999999119,535000.0000000589,-0.00011265100420233741
2022-12-02 13:53:36,76,1.34815,1.347105,1.3477053012048188,0.0010449999999999626,435406.6985646089,0.00040499422505495015
2022-12-02 14:02:05,77,1.34855,1.34775,1.3481573926380377,0.0007999999999999119,407500.0000000449,0.00033545273793516526
2022-12-02 14:11:35,78,1.34925,1.3481,1.3485705076923085,0.0011499999999999844,383478.2608695704,0.00030642939505928286
2022-12-02 14:21:34,79,1.349475,1.348315,1.3488658858858855,0.0011600000000000499,305172.4137930903,0.00021903058971867265
